panoid,missing_angle,angles_present,n_missing,phase,dataset,pano_year,centroid_cell_id,centroid_lat,centroid_lon
nCyGSz-cS1WhV0Vr0lkh4g,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-10-20k,2019.0,415468.0,-6.2779951,106.86976
nRrx6db3s5VTrVVB62Du7g,0,"[60, 120, 180, 240, 300]",1,ph1a,20k-40k,2013.0,306899.0,-6.2285018,106.74591
nn0bDCgPt8K0G5-z6KGNTw,180,"[0, 60, 120, 240, 300]",1,ph3,ph3_r2,2018.0,451286.0,-6.2943964,106.88134
nyc7Jp6ClSsGecxRx8pkhQ,180,"[0, 60, 120, 240, 300]",1,ph2,r2_muskan_10_20k,2019.0,165946.0,-6.1631474,106.90797
o_xxeY40-cGnqqHBxPM72w,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-10-20k,2013.0,222039.0,-6.1889577,106.86098
ogaMBjlSimUG4-madFpGCg,180,"[0, 60, 120, 240, 300]",1,ph1a,r1a-10-20k,2018.0,67996.0,-6.1180892,106.91798
ok9t9InSEazeGlgitaVN6Q,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-0-10k,2018.0,88229.0,-6.1275449,106.84518
pjwEOdyzexxD0LyI6NVhaw,120,"[0, 60, 180, 240, 300]",1,ph3,ph3_r1,2018.0,440075.0,-6.2892742,106.83558
qzedpRKrtjroikwV_UHMzA,0,"[60, 120, 180, 240, 300]",1,ph2,r2_muskan_0_10k,2015.0,504181.0,-6.3183861,106.90549
rGdAn0N7kOOqoUnsvERUeQ,0,"[60, 120, 180, 240, 300]",1,ph3,ph3_r1,2015.0,461209.0,-6.2992568,106.77936
rd8hwOAEaqw_OTLCSGm3FQ,0,"[60, 120, 180, 240, 300]",1,ph1b,r1b-muskan,2018.0,500626.0,-6.3171964,106.85567
sK_ANCKjOF6pefdPeaNjbA,300,"[0, 60, 120, 180, 240]",1,ph2,r2_muskan_0_10k,2018.0,177419.0,-6.1689625,106.75385
sVFvFBRb954-LzqL1kT4Gw,240,"[0, 60, 120, 180, 300]",1,ph1a,muskan-0-10k,2016.0,60840.0,-6.115356,106.8028
sdaGr0X1jBoYCbcMbHjhZQ,0,"[60, 120, 180, 240, 300]",1,ph1a,20k-40k,2019.0,498252.0,-6.3157978,106.91734
t5o1QisHQt0xFIv4TEI-OQ,0,"[60, 120, 180, 240, 300]",1,ph2,r2_muskan_10_20k,2015.0,75328.0,-6.1220074,106.80417
vMmmq4Inz2VUIUmi6j6kIw,300,"[0, 60, 120, 180, 240]",1,ph3,ph3_r1,2018.0,254067.0,-6.204236,106.74312
vz1c7HQAtu4y-N26dkPgCQ,0,"[60, 120, 180, 240, 300]",1,ph2,r2_muskan_0_10k,2018.0,143552.0,-6.153255,106.82596
wUas0oiCKJNKFPrc_SVwfQ,0,"[60, 120, 180, 240, 300]",1,ph2,r2_muskan_10_20k,2013.0,361776.0,-6.2533493,106.86425
x3n3twNypJr93mQTMlBxYA,0,"[60, 120, 180, 240, 300]",1,ph2,r2_muskan_0_10k,2016.0,264472.0,-6.2089248,106.80447
xlyIA9nrrXeqBwWC96iesA,0,"[60, 120, 180, 240, 300]",1,ph1b,r1b-muskan,2015.0,268590.0,-6.2110438,106.75636
zObdXXXmQDiy8lgt27tT5g,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r1,2013.0,43572.0,-6.107779,106.72553
